latitude,longitude,heighting,angle_deg,depth_cgr,feature_identification,anomaly_dim_class,depth,length,width,erf_b31g
16.8534214,81.54486,14.702,146.00000000000003,0.0,Pipe mill anomaly,PITT,1.72,39.0,26.0,0.91
16.8536569,81.54328,14.788,333.5,0.0,Pipe mill anomaly,PITT,1.72,34.0,24.0,0.91
16.8533597,81.5374175,15.234,68.49999999999999,0.0,Pipe mill anomaly,AXSL,2.07,23.0,18.0,0.91
16.8533594,81.5374119,15.231,68.0,0.0,Pipe mill anomaly,AXSL,2.07,21.0,18.0,0.91
16.8533589,81.5374061,15.229,68.0,0.0,Pipe mill anomaly,PINH,2.07,19.0,18.0,0.91
16.8533583,81.5374003,15.227,68.0,0.0,Pipe mill anomaly,PINH,2.07,15.0,18.0,0.91
16.8508669,81.5178678,12.372,83.0,0.0,Pipe mill anomaly,PITT,1.72,28.0,19.0,0.91
16.8506456,81.5158442,11.383,289.0,0.0,Pipe mill anomaly,PITT,1.72,30.0,18.0,0.91
16.8502794,81.5126425,11.113,57.00000000000001,0.0,Corrosion,AXSL,2.54,34.0,18.0,0.91
16.8505997,81.5020294,15.909,137.0,0.0,Pipe mill anomaly,PITT,1.72,32.0,18.0,0.91
16.8490039,81.4877542,15.516,167.0,0.0,Pipe mill anomaly,AXSL,2.07,30.0,20.0,0.91
16.8489986,81.4877442,15.507,167.49999999999997,0.0,Pipe mill anomaly,AXSL,2.07,44.0,20.0,0.91
16.8489958,81.4877392,15.503,167.49999999999997,0.0,Pipe mill anomaly,AXSL,2.07,36.0,18.0,0.91
16.848985,81.4877189,15.484,167.0,0.0,Pipe mill anomaly,AXSL,2.07,34.0,19.0,0.91
16.8489822,81.4877139,15.479,166.0,0.0,Pipe mill anomaly,AXSL,2.07,34.0,19.0,0.91
16.8475675,81.4851356,15.265,114.50000000000001,0.0,Pipe mill anomaly,PITT,1.72,38.0,21.0,0.91
16.8305461,81.4528647,8.909,80.5,0.0,Pipe mill anomaly,GENE,1.72,72.0,64.0,0.91
16.8277858,81.4466819,9.757,22.0,0.0,Pipe mill anomaly,PITT,1.72,45.0,28.0,0.91
16.8212711,81.4434433,9.005,1.999999999999995,0.0,Pipe mill anomaly,CISL,1.72,13.0,18.0,0.91
16.8189483,81.4395253,7.96,15.499999999999996,0.0,Pipe mill anomaly,PITT,1.72,29.0,20.0,0.91
16.8179581,81.4378592,6.656,136.5,0.0,Pipe mill anomaly,PITT,1.72,42.0,23.0,0.91
16.8176881,81.4374064,6.854,239.0,0.0,Pipe mill anomaly,AXGR,1.72,78.0,20.0,0.92
16.8123469,81.4283967,5.052,135.5,0.0,Pipe mill anomaly,PITT,1.72,33.0,21.0,0.91
16.80873,81.4170031,4.523,72.49999999999999,0.0,Pipe mill anomaly,PITT,1.72,37.0,28.0,0.91
16.8085356,81.4160406,4.191,117.5,0.0,Pipe mill anomaly,PITT,1.72,39.0,23.0,0.91
16.8082811,81.4147639,4.352,37.5,0.0,Pipe mill anomaly,PITT,1.72,36.0,42.0,0.91
16.8080481,81.4135767,2.589,251.49999999999997,0.0,Pipe mill anomaly,PITT,1.72,36.0,26.0,0.91
16.8079397,81.4129958,3.959,212.0,0.0,Pipe mill anomaly,PITT,1.72,25.0,18.0,0.91
16.8059944,81.4034189,4.585,58.00000000000001,0.0,Pipe mill anomaly,PITT,1.72,29.0,18.0,0.91
16.8037272,81.3921094,4.849,54.5,0.0,Pipe mill anomaly,PITT,1.72,45.0,23.0,0.91
16.8035392,81.3911794,4.876,116.00000000000001,0.0,Pipe mill anomaly,PITT,1.72,34.0,18.0,0.91
16.8030394,81.3887222,4.939,27.5,0.0,Pipe mill anomaly,AXGR,1.72,44.0,18.0,0.91
16.7950483,81.3490433,3.92,220.49999999999997,0.0,Pipe mill anomaly,AXGR,1.72,56.0,26.0,0.91
16.7935264,81.3416269,3.556,243.50000000000003,0.0,Pipe mill anomaly,PITT,1.72,36.0,30.0,0.91
16.7914842,81.3313467,5.376,103.50000000000004,0.0,Pipe mill anomaly,PITT,1.72,32.0,19.0,0.91
16.7842408,81.2959447,1.969,339.00000000000006,0.0,Pipe mill anomaly,PITT,1.72,33.0,20.0,0.91
16.7840867,81.2949975,1.467,62.000000000000014,0.0,Pipe mill anomaly,PITT,1.72,30.0,21.0,0.91
16.7840844,81.2949853,1.464,246.49999999999997,0.0,Pipe mill anomaly,PITT,1.72,45.0,25.0,0.91
16.7804033,81.2735947,1.851,279.0,0.0,Pipe mill anomaly,PITT,1.72,43.0,28.0,0.91
16.7771928,81.2576508,2.261,244.5,0.0,Pipe mill anomaly,PITT,1.72,42.0,28.0,0.91
16.7741258,81.2482644,2.91,304.0,0.0,Pipe mill anomaly,PITT,1.72,55.0,47.0,0.91
16.771965,81.2416892,3.503,207.00000000000009,0.0,Pipe mill anomaly,PINH,2.54,16.0,18.0,0.91
16.7714242,81.2368744,6.563,54.00000000000001,0.0,Corrosion,PINH,2.54,12.0,18.0,0.91
16.7712039,81.2238631,6.77,287.0,0.0,Pipe mill anomaly,PITT,1.72,32.0,18.0,0.91
16.7710975,81.2178883,7.425,104.5,0.0,Pipe mill anomaly,AXGR,1.72,54.0,21.0,0.91
16.7725225,81.2106325,8.82,200.5,0.0,Pipe mill anomaly,AXGR,1.72,93.0,26.0,0.92
16.7724403,81.2084342,9.034,280.0,0.0,Pipe mill anomaly,PITT,1.72,30.0,18.0,0.91
16.7722647,81.2041758,7.725,75.5,0.0,Pipe mill anomaly,AXGR,1.72,39.0,18.0,0.91
16.7720561,81.1902244,11.721,184.50000000000003,0.0,Pipe mill anomaly,PITT,1.72,32.0,20.0,0.91
16.7720878,81.1894836,12.975,156.99999999999997,0.0,Pipe mill anomaly,PITT,1.72,43.0,27.0,0.91
16.7720886,81.1894678,12.962,279.5,0.0,Pipe mill anomaly,PITT,1.72,28.0,21.0,0.91
16.7702142,81.1711069,14.145,103.0,0.0,Pipe mill anomaly,PITT,1.72,24.0,19.0,0.91
16.7702133,81.171105,14.145,25.0,0.0,Pipe mill anomaly,PITT,1.72,20.0,18.0,0.91
16.7624181,81.1396711,13.192,202.5,0.0,Pipe mill anomaly,PITT,1.72,28.0,18.0,0.91
16.7630119,81.1219033,14.292,309.00000000000006,0.0,Pipe mill anomaly,PITT,1.72,26.0,18.0,0.91
16.76338,81.1205006,14.366,333.0,0.0,Pipe mill anomaly,PITT,1.72,26.0,18.0,0.91
16.7608094,81.1113517,15.104,342.5,0.0,Pipe mill anomaly,PITT,1.72,43.0,33.0,0.91
16.7601886,81.1094333,15.501,230.00000000000006,0.0,Pipe mill anomaly,PITT,1.72,25.0,18.0,0.91
16.7602042,81.1075603,16.5,32.5,0.0,Pipe mill anomaly,CISL,1.72,12.0,18.0,0.91
16.7602506,81.1039825,17.262,326.0,0.0,Pipe mill anomaly,AXGR,1.72,82.0,24.0,0.92
16.7602642,81.1028222,17.077,136.5,0.0,Pipe mill anomaly,PITT,1.72,45.0,28.0,0.91
16.7603808,81.100005,17.988,49.49999999999999,0.0,Pipe mill anomaly,PITT,1.72,38.0,22.0,0.91
16.7603528,81.0952264,18.726,100.50000000000001,0.0,Pipe mill anomaly,PITT,1.72,26.0,20.0,0.91
16.7614664,81.0847272,20.112,160.0,0.0,Pipe mill anomaly,AXSL,2.07,31.0,19.0,0.91
16.7649981,81.0673764,27.136,274.5,0.0,Pipe mill anomaly,AXGR,2.07,77.0,25.0,0.91
16.7652119,81.0609506,23.969,40.5,0.0,Pipe mill anomaly,AXGR,1.72,49.0,24.0,0.91
16.7652244,81.060755,23.607,98.49999999999999,0.0,Pipe mill anomaly,PITT,1.72,57.0,32.0,0.91
16.7653133,81.0594297,22.742,83.5,0.0,Pipe mill anomaly,PITT,1.72,28.0,18.0,0.91
16.7653814,81.0583781,18.325,270.5000000000001,0.0,Pipe mill anomaly,PITT,1.72,33.0,20.0,0.91
16.7575744,81.0290411,28.8,127.00000000000001,0.0,Pipe mill anomaly,PITT,1.72,31.0,18.0,0.91
16.756775,81.0265717,30.091,228.00000000000003,0.0,Pipe mill anomaly,PITT,1.72,40.0,22.0,0.91
16.7558839,81.0237983,32.451,184.00000000000003,0.0,Pipe mill anomaly,PITT,1.72,36.0,22.0,0.91
16.7516767,81.0131133,41.304,340.5,0.0,Pipe mill anomaly,PINH,2.54,14.0,18.0,0.91
16.7481111,82.2971225,-3.758,91.5,0.635,Girth weld anomaly,CIGR,2.54,32.0,148.0,
16.7481322,82.2962333,-4.697,94.5,0.0,Girth weld irregularity,,0.0,21.0,46.0,
16.7481433,82.2955308,-4.107,238.0,0.0,Girth weld irregularity,,0.0,36.0,274.0,
16.7481336,82.2954881,-4.197,187.50000000000003,0.0,Milling,,0.0,82.0,37.0,
16.7466639,82.2950472,-4.453,242.50000000000003,0.0,Girth weld irregularity,,0.0,26.0,50.0,
16.7465742,82.2951181,-4.603,172.5,0.0,Girth weld irregularity,,0.0,20.0,23.0,
16.74647,82.2951989,-5.058,274.5,0.635,Corrosion,AXSL,2.54,32.0,18.0,0.91
16.7464656,82.2952011,-5.061,279.5,0.6985,Corrosion,AXSL,2.794,38.0,25.0,0.91
16.7464644,82.2952017,-5.063,280.0,0.635,Corrosion,PINH,2.54,15.0,18.0,0.91
16.7464414,82.2952072,-5.067,45.0,0.0,Girth weld irregularity,,0.0,20.0,84.0,
16.7464414,82.2952072,-5.067,182.00000000000003,0.0,Girth weld irregularity,,0.0,20.0,23.0,
16.7463678,82.2952181,-5.094,278.50000000000006,0.0,Girth weld irregularity,,0.0,31.0,51.0,
16.7360733,82.2937439,4.906,45.5,0.635,Corrosion,PINH,2.54,12.0,18.0,0.91
16.7360733,82.2937439,4.906,123.49999999999997,0.635,Corrosion,PINH,2.54,12.0,18.0,0.91
16.7360717,82.2937303,4.931,52.50000000000001,0.635,Corrosion,AXSL,2.54,38.0,24.0,0.91
16.7360717,82.29373,4.932,146.49999999999994,0.635,Corrosion,PINH,2.54,12.0,18.0,0.91
16.7360225,82.2932653,5.774,337.50000000000006,0.635,Pipe mill anomaly,AXSL,2.54,54.0,23.0,0.91
16.7360222,82.2932644,5.774,348.0,0.635,Longitudinal weld anomaly,,2.54,63.0,30.0,
16.7357875,82.2911014,7.517,224.5,0.0,Girth weld irregularity,,0.0,20.0,68.0,
16.73576,82.2908336,7.806,309.00000000000006,0.635,Pipe mill anomaly,AXSL,2.54,41.0,18.0,0.91
16.7356367,82.2897244,8.902,320.0,0.635,Corrosion,AXSL,2.54,37.0,18.0,0.91
16.7356206,82.2895831,9.068,302.0,0.635,Pipe mill anomaly,AXSL,2.54,51.0,18.0,0.91
16.7359239,82.2882428,11.133,33.5,0.635,Pipe mill anomaly,PINH,2.54,22.0,18.0,0.91
16.7359247,82.2882417,11.135,280.0,0.635,Pipe mill anomaly,PINH,2.54,17.0,18.0,0.91
16.7363122,82.2874797,11.892,326.5,0.635,Corrosion,AXSL,2.54,45.0,18.0,0.91
16.7363128,82.2874781,11.893,326.5,0.635,Corrosion,AXSL,2.54,38.0,18.0,0.91
16.7363133,82.2874769,11.894,325.0,0.635,Corrosion,AXSL,2.54,38.0,18.0,0.91
16.7363158,82.2874728,11.899,327.0,0.635,Corrosion,AXSL,2.54,44.0,18.0,0.91
16.7456264,82.2745211,15.724,93.50000000000003,0.43,Pipe mill anomaly,PITT,1.72,21.0,18.0,0.91
16.7494108,82.2624556,1.232,97.0,0.43,Pipe mill anomaly,PITT,1.72,29.0,18.0,0.91
16.7494111,82.2624556,1.232,89.0,0.43,Pipe mill anomaly,PITT,1.72,38.0,22.0,0.91
16.7499847,82.2606822,-1.674,272.0,0.43,Pipe mill anomaly,PITT,1.72,28.0,19.0,0.91
16.7500214,82.2605733,-1.764,25.499999999999996,0.43,Pipe mill anomaly,PITT,1.72,26.0,18.0,0.91
16.7509425,82.2577617,-4.906,266.5,0.43,Pipe mill anomaly,PITT,1.72,26.0,18.0,0.91
16.7540336,82.2474803,-7.135,352.0,0.5175,Pipe mill anomaly,AXSL,2.07,27.0,18.0,0.91
16.7540786,82.2473094,-7.036,308.0,0.5175,Pipe mill anomaly,AXSL,2.07,34.0,18.0,0.91
16.7540819,82.2472969,-7.029,308.5,0.5175,Pipe mill anomaly,PITT,2.07,32.0,21.0,0.91
16.7587931,82.2352567,0.244,53.0,0.5175,Pipe mill anomaly,PITT,2.07,44.0,28.0,0.91
16.7589689,82.2350167,0.467,42.50000000000001,0.5175,Pipe mill anomaly,PINH,2.07,17.0,18.0,0.91
16.7589975,82.2349781,0.501,32.5,0.5175,Pipe mill anomaly,PITT,2.07,44.0,28.0,0.91
16.7597236,82.2339869,0.058,160.0,0.0,Girth weld irregularity,,0.0,17.0,36.0,
16.7599611,82.2336867,0.049,5.999999999999996,0.5175,Pipe mill anomaly,PITT,2.07,61.0,37.0,0.91
